,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
8,1628971,2024-25,00,1610612761,TOR,28.0,18,0,19.6,3.2,7.3,0.435,0.6,2.0,0.306,1.4,1.6,0.897,0.9,2.8,3.8,1.6,0.9,0.2,1.1,1.4,8.4
9,1628971,2024-25,00,1610612740,NOP,28.0,23,12,24.7,3.2,7.7,0.41,0.7,2.0,0.356,1.2,1.6,0.75,1.0,3.2,4.2,2.4,0.7,0.3,0.9,2.0,8.2
10,1628971,2024-25,00,0,TOT,28.0,41,12,22.5,3.2,7.5,0.421,0.7,2.0,0.333,1.3,1.6,0.815,1.0,3.0,4.0,2.0,0.8,0.2,1.0,1.7,8.3
11,1628971,2025-26,00,1610612743,DEN,29.0,5,0,18.4,2.2,4.2,0.524,0.6,1.6,0.375,0.4,0.8,0.5,1.2,2.8,4.0,1.6,0.8,0.4,0.8,2.6,5.4
0,1627759,2016-17,00,1610612738,BOS,20.0,78,20,17.2,2.5,5.4,0.455,0.6,1.7,0.343,1.1,1.6,0.685,0.6,2.2,2.8,0.8,0.4,0.2,0.9,1.8,6.6
1,1627759,2017-18,00,1610612738,BOS,21.0,70,70,30.7,5.3,11.5,0.465,1.7,4.4,0.395,2.1,3.3,0.644,0.9,4.0,4.9,1.6,1.0,0.4,1.8,2.6,14.5
2,1627759,2018-19,00,1610612738,BOS,22.0,74,25,25.9,5.0,10.7,0.465,1.3,3.7,0.344,1.8,2.7,0.658,0.9,3.4,4.2,1.4,0.9,0.4,1.3,2.5,13.0
3,1627759,2019-20,00,1610612738,BOS,23.0,57,57,33.9,7.5,15.6,0.481,2.3,5.9,0.382,3.1,4.3,0.724,1.1,5.3,6.4,2.1,1.1,0.4,2.2,2.9,20.3
4,1627759,2020-21,00,1610612738,BOS,24.0,58,58,34.5,9.3,19.2,0.484,2.8,7.1,0.397,3.3,4.3,0.764,1.2,4.8,6.0,3.4,1.2,0.6,2.7,2.9,24.7
5,1627759,2021-22,00,1610612738,BOS,25.0,66,66,33.6,8.7,18.4,0.473,2.5,7.0,0.358,3.7,4.8,0.758,0.8,5.3,6.1,3.5,1.1,0.3,2.7,2.5,23.6
6,1627759,2022-23,00,1610612738,BOS,26.0,67,67,35.9,10.1,20.6,0.491,2.4,7.3,0.335,3.9,5.1,0.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6
7,1627759,2023-24,00,1610612738,BOS,27.0,70,70,33.5,9.0,17.9,0.499,2.1,5.9,0.354,3.0,4.3,0.703,1.2,4.3,5.5,3.6,1.2,0.5,2.4,2.6,23.0
8,1627759,2024-25,00,1610612738,BOS,28.0,63,63,34.3,8.2,17.7,0.463,1.8,5.7,0.324,3.9,5.1,0.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2
9,1627759,2025-26,00,1610612738,BOS,29.0,6,6,32.5,10.0,18.2,0.55,3.2,6.5,0.487,4.5,6.0,0.75,0.5,4.7,5.2,4.2,0.5,0.5,3.8,4.2,27.7
0,1641738,2023-24,00,1610612746,LAC,24.0,44,0,9.0,0.8,2.0,0.411,0.3,1.1,0.292,0.0,0.0,0.5,0.5,1.0,1.4,0.6,0.3,0.1,0.2,1.1,2.0
1,1641738,2024-25,00,1610612746,LAC,25.0,40,0,6.8,0.8,1.8,0.458,0.2,0.7,0.231,0.1,0.2,0.714,0.5,1.2,1.6,0.6,0.2,0.1,0.3,0.6,1.9
2,1641738,2025-26,00,1610612746,LAC,25.0,3,0,4.7,0.3,0.3,1.0,0.0,0.0,0.0,0.7,0.7,1.0,0.3,0.7,1.0,0.7,0.0,0.0,0.3,0.0,1.3
0,1629650,2019-20,00,1610612757,POR,20.0,9,0,3.7,0.4,1.1,0.4,0.0,0.0,0.0,0.3,0.9,0.375,0.3,1.2,1.6,0.1,0.1,0.1,0.3,0.8,1.2
1,1629650,2020-21,00,1610612760,OKC,21.0,43,32,21.4,3.4,6.2,0.545,0.0,0.0,0.0,1.8,2.9,0.619,3.6,5.3,8.9,0.2,0.7,1.1,1.0,2.2,8.6
2,1629650,2021-22,00,1610612742,DAL,22.0,26,1,6.5,1.0,1.9,0.54,0.0,0.0,0.0,1.0,1.7,0.628,0.6,1.7,2.3,0.0,0.1,0.3,0.5,1.1,3.1
3,1629650,2021-22,00,1610612739,CLE,22.0,14,5,12.6,2.6,4.1,0.638,0.0,0.0,0.0,1.1,2.1,0.552,1.6,3.6,5.3,0.0,0.3,0.5,0.4,1.8,6.4
4,1629650,2021-22,00,0,TOT,22.0,40,6,8.6,1.6,2.7,0.593,0.0,0.0,0.0,1.1,1.8,0.597,1.0,2.4,3.4,0.0,0.2,0.4,0.5,1.3,4.3
5,1629650,2022-23,00,1610612746,LAC,23.0,34,1,8.5,1.8,2.8,0.635,0.0,0.0,0.0,1.0,2.1,0.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6
6,1629650,2022-23,00,1610612751,BKN,23.0,2,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0
7,1629650,2022-23,00,0,TOT,23.0,36,1,8.2,1.7,2.7,0.635,0.0,0.0,0.0,0.9,2.0,0.458,1.6,2.3,3.9,0.1,0.1,0.4,0.4,1.1,4.3
8,1629650,2023-24,00,1610612757,POR,24.0,22,5,9.1,1.5,3.0,0.508,0.0,0.0,0.0,0.4,1.4,0.29,1.7,2.2,3.9,0.3,0.2,0.3,0.5,1.2,3.4
9,1629650,2024-25,00,1610612754,IND,25.0,9,0,5.1,1.4,2.2,0.65,0.0,0.0,0.0,0.3,0.6,0.6,0.4,1.0,1.4,0.0,0.2,0.1,0.7,0.7,3.2
10,1629650,2024-25,00,1610612742,DAL,25.0,4,2,18.3,5.3,7.3,0.724,0.0,0.0,0.0,1.3,1.5,0.833,2.0,5.8,7.8,0.5,1.0,0.8,1.3,2.8,11.8
11,1629650,2024-25,00,0,TOT,25.0,13,2,9.2,2.6,3.8,0.694,0.0,0.0,0.0,0.6,0.8,0.727,0.9,2.5,3.4,0.2,0.5,0.3,0.8,1.3,5.8
0,1628973,2018-19,00,1610612742,DAL,22.0,73,38,21.8,3.6,7.7,0.467,0.9,2.5,0.348,1.2,1.6,0.725,0.3,2.0,2.3,3.2,0.5,0.1,1.2,1.7,9.3
1,1628973,2019-20,00,1610612742,DAL,23.0,57,16,17.9,3.2,6.8,0.466,0.8,2.1,0.358,1.1,1.3,0.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2
2,1628973,2020-21,00,1610612742,DAL,24.0,68,12,25.0,4.8,9.2,0.523,1.2,2.9,0.405,1.8,2.2,0.795,0.4,3.0,3.4,3.5,0.5,0.0,1.2,1.6,12.6
3,1628973,2021-22,00,1610612742,DAL,25.0,79,61,31.9,6.4,12.8,0.502,1.2,3.2,0.373,2.3,2.7,0.84,0.5,3.4,3.9,4.8,0.8,0.0,1.6,1.9,16.3
4,1628973,2022-23,00,1610612752,NYK,26.0,68,68,35.0,8.6,17.6,0.491,2.0,4.7,0.416,4.8,5.8,0.829,0.6,3.0,3.5,6.2,0.9,0.2,2.1,2.2,24.0
5,1628973,2023-24,00,1610612752,NYK,27.0,77,77,35.4,10.3,21.4,0.479,2.7,6.8,0.401,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7
6,1628973,2024-25,00,1610612752,NYK,28.0,65,65,35.4,9.0,18.5,0.487,2.3,6.1,0.383,5.7,6.9,0.821,0.4,2.5,2.9,7.3,0.9,0.1,2.5,2.1,26.0
7,1628973,2025-26,00,1610612752,NYK,29.0,5,5,34.8,11.0,22.8,0.482,2.6,8.0,0.325,6.6,8.0,0.825,0.6,3.0,3.6,5.4,1.0,0.0,2.0,2.8,31.2
0,1628418,2017-18,00,1610612747,LAL,20.0,15,0,4.8,0.5,1.4,0.381,0.1,0.7,0.1,0.3,0.6,0.556,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.4,1.5
1,1628418,2018-19,00,1610612764,WAS,21.0,72,53,20.8,4.3,7.0,0.616,0.5,1.4,0.333,1.5,1.9,0.781,1.6,4.7,6.3,1.3,0.3,0.9,0.8,1.8,10.5
2,1628418,2019-20,00,1610612764,WAS,22.0,46,36,24.9,5.3,9.1,0.581,0.8,2.0,0.407,1.9,2.5,0.741,2.1,5.1,7.2,1.8,0.5,1.1,1.2,2.2,13.2
3,1628418,2020-21,00,1610612764,WAS,23.0,10,10,27.1,5.9,9.1,0.648,0.9,2.1,0.429,1.6,2.4,0.667,1.8,4.3,6.1,1.5,0.4,0.8,1.1,3.1,14.3
4,1628418,2021-22,00,1610612764,WAS,24.0,27,9,16.3,2.9,5.5,0.52,0.4,1.6,0.286,1.3,1.5,0.875,1.0,3.0,4.0,0.9,0.2,0.8,0.7,1.6,7.4
5,1628418,2022-23,00,1610612747,LAL,25.0,41,25,21.4,4.8,7.3,0.654,0.5,1.2,0.44,2.0,2.6,0.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1
6,1628418,2022-23,00,1610612743,DEN,25.0,18,1,11.4,1.8,3.8,0.485,0.2,0.5,0.444,0.7,1.0,0.722,1.1,2.3,3.3,0.1,0.1,0.4,0.6,1.4,4.6
7,1628418,2022-23,00,0,TOT,25.0,59,26,18.3,3.9,6.3,0.623,0.4,1.0,0.441,1.6,2.1,0.738,1.5,4.3,5.7,0.5,0.3,0.5,0.6,1.7,9.8
8,1628418,2023-24,00,1610612748,MIA,26.0,38,4,11.6,2.3,3.9,0.577,0.1,0.6,0.182,1.1,1.2,0.872,1.1,2.7,3.7,0.6,0.3,0.4,0.6,1.2,5.7
9,1628418,2024-25,00,1610612748,MIA,27.0,10,0,11.5,1.2,2.8,0.429,0.6,1.7,0.353,1.1,1.1,1.0,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1
10,1628418,2024-25,00,1610612754,IND,27.0,56,8,15.1,2.7,5.2,0.515,0.8,2.3,0.321,0.8,0.9,0.83,1.4,2.5,3.9,0.9,0.5,0.6,0.5,1.2,6.9
11,1628418,2024-25,00,0,TOT,27.0,66,8,14.6,2.5,4.9,0.508,0.7,2.2,0.324,0.8,1.0,0.859,1.3,2.5,3.8,0.8,0.4,0.6,0.5,1.2,6.5
12,1628418,2025-26,00,1610612739,CLE,28.0,3,0,7.3,1.3,3.3,0.4,0.0,1.3,0.0,0.0,0.3,0.0,1.0,0.7,1.7,0.3,0.3,0.0,0.0,1.3,2.7
0,1641723,2023-24,00,1610612737,ATL,20.0,17,0,11.5,2.0,5.4,0.37,0.5,2.4,0.225,0.2,0.5,0.5,0.4,1.6,1.9,1.6,0.4,0.3,0.6,1.2,4.8
1,1641723,2024-25,00,1610612737,ATL,21.0,10,0,12.4,1.8,4.7,0.383,0.4,1.9,0.211,1.3,1.8,0.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3
