,PLAYER_ID,GP,REB,AST,STL,BLK,TOV,PTS,FG_PCT,3_PCT,FT_PCT,PLAYER_NAME,Clusters,Principal Component 1,Principal Component 2
298,1641726,94,7.1,1.6,0.6,1.5,1.0,8.6,0.73,0.0,0.563,Dereck Lively II,Defensive Anchor Big,0.8565992637036021,5.34893710576915
299,1641753,42,1.3,0.2,0.2,0.0,0.3,1.3,0.408,0.077,0.75,Chris Livingston,Energetic Role Player,-3.1175712519979113,0.4600568799003376
300,1626172,600,5.7,1.6,0.5,0.5,0.6,5.0,0.574,0.182,0.608,Kevon Looney,Interior Role Player,-0.6177652319526609,2.3637964772381763
301,201572,1110,6.1,1.5,0.6,1.9,1.6,15.8,0.496,0.352,0.797,Brook Lopez,Defensive Anchor Big,2.109032862816613,2.008439698677698
302,201567,1015,9.8,2.3,0.6,0.4,1.7,15.7,0.436,0.366,0.829,Kevin Love,Scoring Shot Creator,2.026391720431982,0.22466789089757871
303,200768,1311,4.1,5.8,1.2,0.3,2.2,13.3,0.424,0.367,0.815,Kyle Lowry,Scoring Shot Creator,2.66020596489689,-1.704331326930211
304,1641754,9,0.8,0.0,0.0,0.0,0.1,1.6,0.235,0.231,0.75,Seth Lundy,Energetic Role Player,-3.6982736694449354,-0.9903306504694481
305,1626168,725,4.4,1.1,0.4,0.4,0.8,7.9,0.444,0.344,0.753,Trey Lyles,3 and D Wing,-0.6556584940806396,0.2104828698173726
306,1630572,241,3.3,1.1,0.3,0.3,0.6,5.4,0.464,0.342,0.724,Sandro Mamukelashvili,Energetic Role Player,-1.3238927806129428,0.22294971421976148
307,1629611,485,3.5,1.9,0.6,0.2,0.8,8.1,0.503,0.371,0.771,Terance Mann,3 and D Wing,-0.31248794944308994,-0.263348458940552
308,1630544,229,3.0,2.6,0.9,0.1,1.3,9.4,0.415,0.35,0.786,Tre Mann,3 and D Wing,0.28822511709781135,-1.205612841779151
309,1628374,456,7.1,1.5,0.7,0.5,1.4,18.4,0.456,0.371,0.867,Lauri Markkanen,Scoring Shot Creator,1.6713349358258427,-0.09577012776001291
310,1630230,305,3.8,2.2,0.8,0.2,1.2,8.8,0.455,0.301,0.79,Naji Marshall,3 and D Wing,0.1705997106568146,-0.44044977307914474
311,1628997,361,3.9,1.7,0.9,0.4,1.0,8.2,0.444,0.357,0.715,Caleb Martin,3 and D Wing,0.09726959901214409,-0.09956735725100681
312,1628998,312,3.8,2.2,1.0,0.4,0.9,6.3,0.433,0.303,0.668,Cody Martin,3 and D Wing,-0.03880746920138217,0.1433402364073208
313,1641798,32,2.8,1.1,0.6,0.0,0.8,4.9,0.419,0.304,0.9,Jaylen Martin,3 and D Wing,-1.1270810835111378,-1.1045312154460087
314,1630231,412,3.6,1.1,0.4,0.4,0.7,7.6,0.545,0.321,0.673,KJ Martin,Interior Role Player,-0.7875070705648509,1.0011714687081934
315,1631213,82,3.0,1.7,0.5,0.1,1.0,7.1,0.4,0.342,0.81,Tyrese Martin,3 and D Wing,-0.7699840864913513,-0.9727037676324508
316,1629726,368,1.7,0.7,0.5,0.2,0.4,6.2,0.4,0.378,0.845,Garrison Mathews,Energetic Role Player,-1.5352234155287503,-1.1004014304668652
317,1631097,211,4.5,1.8,0.6,0.2,1.8,16.0,0.447,0.344,0.829,Bennedict Mathurin,3 and D Wing,0.9978886547087401,-0.7278690495659205
318,1631255,46,4.6,1.0,0.5,0.9,0.9,7.2,0.573,0.313,0.739,Karlo Matković,Interior Role Player,-0.04647532063016643,1.6564279321430488
319,1630178,324,3.0,4.5,0.9,0.3,1.4,19.8,0.461,0.383,0.867,Tyrese Maxey,Scoring Shot Creator,1.9973761965589134,-1.6368227207259518
320,1630540,240,1.5,1.8,0.7,0.1,0.4,6.4,0.404,0.362,0.782,Miles McBride,Energetic Role Player,-1.1884621920216483,-1.185263717191413
321,1642272,23,2.4,2.6,0.7,0.0,1.6,15.3,0.46,0.383,0.875,Jared McCain,3 and D Wing,0.7922495339359009,-1.7197089256088711
322,1630644,10,2.1,1.5,0.7,0.3,1.1,6.0,0.431,0.296,0.727,Mac McClung,3 and D Wing,-0.7387866806535929,-0.27465033451715176
323,203468,855,3.7,3.9,0.9,0.4,1.8,19.7,0.453,0.396,0.79,CJ McCollum,Scoring Shot Creator,2.1854150125689387,-1.1538158587813225
324,204456,706,2.9,5.0,1.2,0.2,1.6,7.6,0.516,0.345,0.778,T.J. McConnell,3 and D Wing,1.4842279264922695,-1.0412392179407037
325,1641755,4,2.0,0.5,0.2,0.2,0.0,1.5,0.286,0.0,1.0,Kevin McCullar Jr.,Energetic Role Player,-3.072942633803133,-0.4565359763881811
326,1630183,372,4.2,1.5,0.9,0.8,1.1,10.5,0.483,0.35,0.755,Jaden McDaniels,3 and D Wing,0.6831454507643926,0.49196048430138556
327,1629667,332,3.5,1.3,0.7,0.4,0.9,7.4,0.451,0.325,0.796,Jalen McDaniels,3 and D Wing,-0.36670508947529507,-0.1487710534841808
328,203926,908,2.1,1.0,0.2,0.1,0.6,8.3,0.466,0.409,0.802,Doug McDermott,Energetic Role Player,-1.3667591881897376,-0.7645485715724594
329,1631121,121,1.6,0.9,0.3,0.1,0.6,4.7,0.413,0.321,0.771,Bryce McGowens,Energetic Role Player,-1.9047604600904706,-0.6254069745185156
330,1629162,340,1.3,2.6,0.7,0.1,0.6,3.8,0.442,0.375,0.75,Jordan McLaughlin,3 and D Wing,-1.0487736807265744,-1.06912283243815
331,1629098,9,0.6,0.1,0.0,0.2,0.2,1.6,0.294,0.308,,Jack McVeigh,Energetic Role Player,-3.308420588858912,-0.8223282559247542
332,1629001,356,3.7,2.8,1.4,0.5,1.4,9.1,0.41,0.369,0.779,De'Anthony Melton,3 and D Wing,1.2887797275059887,-0.9089449887440678
333,1630241,177,1.9,1.4,0.5,0.1,0.4,6.8,0.41,0.392,0.934,Sam Merrill,3 and D Wing,-1.2112558054532596,-1.6466348558172703
334,203995,202,1.8,3.9,0.5,0.1,1.7,6.8,0.395,0.315,0.819,Vasilije Micic,3 and D Wing,-0.04374647377108667,-1.56948963410528
335,203114,819,4.7,3.9,1.2,0.2,2.1,16.4,0.461,0.386,0.876,Khris Middleton,Scoring Shot Creator,2.571278461552111,-1.571235326787869
336,1641706,103,4.3,2.7,0.9,0.6,2.0,18.2,0.428,0.364,0.832,Brandon Miller,Scoring Shot Creator,2.0526308416126438,-0.7856736753685932
337,1641801,6,1.3,0.3,0.2,0.0,0.0,1.7,0.5,0.0,1.0,Emanuel Miller,Energetic Role Player,-2.9246858583297164,0.3063924789608792
338,1641757,45,1.4,0.8,0.4,0.1,0.6,3.7,0.441,0.225,0.811,Jordan Miller,Energetic Role Player,-1.9674526221474784,-0.2963027201025715
339,1631159,32,1.0,0.2,0.1,0.1,0.1,1.6,0.556,0.2,0.9,Leonard Miller,Energetic Role Player,-2.7200194938938087,0.29237186754460764
340,201988,982,1.6,2.1,0.6,0.1,0.9,8.4,0.421,0.382,0.86,Patty Mills,3 and D Wing,-0.6000755306024055,-1.5619466510562068
341,1629003,464,2.1,2.2,0.4,0.2,0.9,7.4,0.448,0.353,0.821,Shake Milton,3 and D Wing,-0.7641873758604136,-0.8794165363664648
342,1631303,57,1.4,0.6,0.3,0.3,0.3,1.7,0.314,0.239,0.417,Justin Minaya,Energetic Role Player,-2.9756053395638076,0.8712675083026525
343,1642434,4,1.0,0.2,0.2,0.0,0.0,2.2,0.571,0.25,,Riley Minix,Energetic Role Player,-2.730856160241567,0.5797934726432363
344,1631169,99,1.3,0.4,0.3,0.3,0.2,2.7,0.475,0.329,0.87,Josh Minott,Energetic Role Player,-2.1435143706175914,-0.36364554798352783
345,1642274,78,8.1,1.4,0.5,1.3,1.2,9.0,0.553,0.0,0.618,Yves Missi,Defensive Anchor Big,0.6109284215524924,4.203683682411776
346,1642349,43,2.2,2.1,0.8,0.1,0.9,8.3,0.477,0.355,0.871,Ajay Mitchell,3 and D Wing,-0.20501112172385585,-1.1811532465250751
347,1630558,381,1.9,3.7,0.7,0.2,1.3,7.7,0.447,0.355,0.689,Davion Mitchell,3 and D Wing,0.0542719439487189,-0.8357109279614215
348,1628378,545,4.3,4.7,1.4,0.3,2.7,24.8,0.45,0.367,0.839,Donovan Mitchell,Scoring Shot Creator,3.9555978220774413,-1.7707851172143472
349,1630596,276,8.9,3.0,0.9,1.6,1.9,16.5,0.545,0.315,0.694,Evan Mobley,Defensive Anchor Big,3.2852836627135042,2.518018034701261
350,1630600,23,1.5,0.6,0.3,0.2,0.1,2.6,0.407,0.333,0.714,Isaiah Mobley,Energetic Role Player,-2.469271838894201,-0.23865594935097326
351,1642367,68,4.7,2.2,0.8,0.5,1.0,5.8,0.44,0.243,0.732,Jonathan Mogbo,3 and D Wing,-0.038624479022599405,0.5195877083943908
352,1628370,528,2.6,3.2,0.6,0.3,1.6,12.4,0.435,0.352,0.848,Malik Monk,3 and D Wing,0.6870329185314813,-1.240855675020115
353,1630541,260,2.2,0.9,0.5,0.3,0.6,7.0,0.447,0.369,0.775,Moses Moody,Energetic Role Player,-1.1472782873625575,-0.42285708118995147
354,1631386,6,2.7,1.0,0.7,0.0,0.8,4.0,0.345,0.182,0.5,Taze Moore,Energetic Role Player,-1.8320289199481177,0.48793837692281516
355,1631111,126,1.7,0.9,0.4,0.1,0.5,2.9,0.463,0.286,0.816,Wendell Moore Jr.,Energetic Role Player,-1.8909275378571213,-0.38190478814524303
356,1629630,313,4.7,7.4,1.0,0.3,3.4,22.6,0.468,0.312,0.77,Ja Morant,Scoring Shot Creator,4.398433430150304,-1.4649914913099327
357,202693,1021,4.7,1.5,0.7,0.5,1.4,9.9,0.439,0.343,0.776,Markieff Morris,3 and D Wing,0.43077883571563547,-0.014243179725956144
