PLAYER_ID,GP,REB,AST,STL,BLK,TOV,PTS,FG_PCT,3_PCT,FT_PCT,PLAYER_NAME
202331,908,6.3,3.7,1.7,0.4,2.7,20.6,0.44,0.383,0.853,Paul George
201959,1100,5.7,0.9,0.5,0.9,1.0,8.4,0.516,0.261,0.712,Taj Gibson
1630581,286,7.5,6.1,0.9,0.5,2.7,14.2,0.465,0.332,0.762,Josh Giddey
1628983,469,4.8,5.1,1.4,0.8,2.3,24.6,0.501,0.353,0.862,Shai Gilgeous-Alexander
1630264,233,1.7,0.5,0.2,0.2,0.3,3.3,0.512,0.298,0.753,Anthony Gill
1631221,64,1.9,2.2,0.7,0.2,0.6,5.7,0.44,0.418,0.795,Collin Gillespie
203497,835,11.7,1.4,0.7,2.1,1.6,12.6,0.656,0.0,0.641,Rudy Gobert
1630692,211,3.9,2.5,0.9,0.3,1.0,6.3,0.397,0.315,0.759,Jordan Goodwin
203932,775,6.2,2.7,0.7,0.6,1.5,13.5,0.483,0.333,0.693,Aaron Gordon
201569,996,2.3,2.7,0.8,0.4,1.8,15.1,0.431,0.372,0.81,Eric Gordon
1641789,16,0.3,0.4,0.1,0.1,0.3,1.5,0.391,0.364,0.5,Jazian Gortman
203924,805,3.8,1.5,0.7,1.0,1.2,12.4,0.45,0.365,0.748,Jerami Grant
1631260,170,1.8,1.0,0.3,0.1,0.4,6.0,0.435,0.426,0.831,AJ Green
203110,888,6.9,5.6,1.3,1.0,2.3,8.7,0.45,0.322,0.709,Draymond Green
1630224,307,4.3,3.4,0.8,0.3,2.4,20.1,0.422,0.342,0.799,Jalen Green
1629750,378,3.0,0.7,0.8,0.4,0.5,5.1,0.491,0.337,0.742,Javonte Green
201145,1500,4.0,1.5,0.6,0.5,1.3,12.0,0.448,0.335,0.803,Jeff Green
1630182,291,2.7,1.5,0.8,0.2,0.9,6.7,0.482,0.38,0.687,Josh Green
1629656,375,3.2,2.2,0.8,0.3,1.2,10.9,0.443,0.374,0.761,Quentin Grimes
1631243,46,4.1,0.8,0.7,0.9,0.5,5.8,0.434,0.274,0.732,Mouhamed Gueye
1629060,407,4.8,1.3,0.6,0.3,0.9,12.6,0.496,0.374,0.76,Rui Hachimura
1630169,410,3.7,8.7,1.5,0.6,2.2,17.1,0.476,0.395,0.853,Tyrese Haliburton
1641790,22,1.2,0.2,0.0,0.3,0.1,1.8,0.607,0.3,0.75,PJ Hall
203501,883,2.9,1.9,0.6,0.1,1.0,14.0,0.415,0.36,0.818,Tim Hardaway Jr.
201935,1265,5.8,7.5,1.5,0.6,3.7,24.0,0.439,0.361,0.862,James Harden
1630702,183,1.7,1.4,0.4,0.1,1.0,8.1,0.424,0.383,0.764,Jaden Hardy
1641989,12,2.0,0.8,1.0,0.1,0.2,3.2,0.317,0.276,0.5,Elijah Harkless
1631199,13,1.3,0.8,0.0,0.1,0.0,2.0,0.345,0.158,1.0,Ron Harper Jr.
203914,659,2.3,1.9,1.1,0.2,1.0,10.4,0.443,0.368,0.81,Gary Harris
202699,1269,6.2,2.3,0.8,0.5,1.4,16.2,0.476,0.37,0.835,Tobias Harris
1628404,665,7.1,3.3,1.1,0.3,1.5,10.6,0.479,0.343,0.753,Josh Hart
1628392,432,6.2,1.9,0.7,0.9,1.1,6.7,0.59,0.254,0.68,Isaiah Hartenstein
1630573,263,2.9,0.9,0.4,0.2,0.4,7.5,0.45,0.421,0.857,Sam Hauser
1641722,128,2.5,1.1,0.4,0.2,0.8,8.9,0.374,0.345,0.83,Jordan Hawkins
1629637,371,3.9,0.7,0.5,0.7,0.7,6.8,0.65,0.267,0.695,Jaxson Hayes
